ProfileURL,Name/Handle,Platform,FollowerCount,Email,Tags,OutreachStatus,LastScrapedAt,Region,Language,PrimaryAITool,SampleContentURL,AIGCVerdict,DiscoveredAt,Source,Notes,FeedURL,ContactSourceURL,EvidenceJSON
https://www.facebook.com/lilmiquela,@lilmiquela,Facebook,N/A,,not exposed,"AIGC,Facebook,virtual influencer,fashion,music,Brud,verified",2026-09-04T07:19:57Z,,English,GenAI,https://ffm.to/prototypelisten?utm_id=97758_v0_s00_e0_tv0,yes,CGI persona,https://www.facebook.com/lilmiquela,"Facebook scrape: followers=N/A; bio_preview=Miquela 
1J pengikut • 6 mengikuti
Lagi
Siaran
Perihal
Reels",https://www.facebook.com/lilmiquela,https://www.facebook.com/lilmiquela,"{""platform"": ""Facebook"", ""handle"": ""@lilmiquela"", ""title"": ""Miquela"", ""bio_preview"": ""Miquela\u00a0\n1J pengikut \u2022 6 mengikuti\nLagi\nSiaran\nPerihal\nReels\nFoto\nPengenalan\n22 \u2764\ufe0f\u200d\ud83d\udd25 LA \ud83c\udf0e Robot \ud83e\uddbe\n\ud83c\udfb6\u267b"", ""external_link"": ""https://ffm.to/prototypelisten?utm_id=97758_v0_s00_e0_tv0"", ""aigc_verdict"": ""yes"", ""ai_reasoning"": ""Rule-based keyword fallback""}"
https://www.facebook.com/noonoouri,@noonoouri,Facebook,N/A,,not exposed,"AIGC,Facebook,virtual influencer,fashion,activism,Joerg Zuber,verified",2026-09-04T07:20:18Z,,English,GenAI,https://www.facebook.com/noonoouri,yes,CGI persona,https://www.facebook.com/noonoouri,"Facebook scrape: followers=N/A; bio_preview=Noono Ouri 
Lagi
Rakan
Foto
Perihal
Pekerjaan
Tiada tempat k",https://www.facebook.com/noonoouri,,"{""platform"": ""Facebook"", ""handle"": ""@noonoouri"", ""title"": ""Noono Ouri"", ""bio_preview"": ""Noono Ouri\u00a0\nLagi\nRakan\nFoto\nPerihal\nPekerjaan\nTiada tempat kerja untuk dipapar\nKolej\nTiada sekolah u"", ""external_link"": """", ""aigc_verdict"": ""yes"", ""ai_reasoning"": ""Rule-based keyword fallback""}"
https://www.facebook.com/beeinfluencer,@beeinfluencer,Facebook,N/A,,not exposed,"AIGC,Facebook,virtual influencer,environment,education,bees,verified",2026-09-04T07:20:39Z,,English,GenAI,http://www.beeinfluencer.cl/,yes,CGI persona,https://www.facebook.com/beeinfluencer,"Facebook scrape: followers=N/A; bio_preview=Bee Influencer 
1K pengikut • 0 mengikuti
Lagi
Siaran
Periha",https://www.facebook.com/beeinfluencer,https://www.facebook.com/beeinfluencer,"{""platform"": ""Facebook"", ""handle"": ""@beeinfluencer"", ""title"": ""Bee Influencer"", ""bio_preview"": ""Bee Influencer\u00a0\n1K pengikut \u2022 0 mengikuti\nLagi\nSiaran\nPerihal\nFoto\nPengenalan\nPlataforma automatizad"", ""external_link"": ""http://www.beeinfluencer.cl/"", ""aigc_verdict"": ""yes"", ""ai_reasoning"": ""Rule-based keyword fallback""}"
https://www.facebook.com/magazineluiza,@magazineluiza,Facebook,N/A,,not exposed,"AIGC,Facebook,virtual influencer,brand ambassador,retail,Magazine Luiza,Brazil,verified",2026-09-04T07:20:59Z,,English,GenAI,https://www.magazineluiza.com.br/?utm_id=97758_v0_s00_e0_tv0,hybrid,CGI persona,https://www.facebook.com/magazineluiza,"Facebook scrape: followers=N/A; bio_preview=Magazine Luiza 
14J pengikut • 4 mengikuti
Lagi
Siaran
Perih",https://www.facebook.com/magazineluiza,https://www.magazineluiza.com.br/?utm_id=97758_v0_s00_e0_tv0,"{""platform"": ""Facebook"", ""handle"": ""@magazineluiza"", ""title"": ""Magazine Luiza"", ""bio_preview"": ""Magazine Luiza\u00a0\n14J pengikut \u2022 4 mengikuti\nLagi\nSiaran\nPerihal\nReels\nFoto\nPengenalan\nPerfil oficial "", ""external_link"": ""https://www.magazineluiza.com.br/?utm_id=97758_v0_s00_e0_tv0"", ""aigc_verdict"": ""hybrid"", ""ai_reasoning"": ""Rule-based keyword fallback""}"
https://www.facebook.com/guggimon,@guggimon,Facebook,N/A,,not exposed,"AIGC,Facebook,virtual influencer,fashion,horror,Superplastic,verified",2026-09-04T07:21:20Z,,English,GenAI,https://www.twitter.com/guggimon,hybrid,CGI persona,https://www.facebook.com/guggimon,"Facebook scrape: followers=N/A; bio_preview=guggimon 
8.5K pengikut • 1 mengikuti
Lagi
Siaran
Perihal
Re",https://www.facebook.com/guggimon,https://www.facebook.com/guggimon,"{""platform"": ""Facebook"", ""handle"": ""@guggimon"", ""title"": ""guggimon"", ""bio_preview"": ""guggimon\u00a0\n8.5K pengikut \u2022 1 mengikuti\nLagi\nSiaran\nPerihal\nReels\nFoto\nPengenalan\nCreator of horror-in"", ""external_link"": ""https://www.twitter.com/guggimon"", ""aigc_verdict"": ""hybrid"", ""ai_reasoning"": ""Rule-based keyword fallback""}"
https://www.facebook.com/thalasya_,Thalasya (@thalasya_),Facebook,,,not exposed,"AIGC,Facebook,virtual influencer,travel,fashion,Indonesia,verified",New,,,,Indonesia,en,CGI persona,https://www.facebook.com/thalasya_,yes,2026-09-04T00:00:00Z,AmraAndElma.com top AI influencers 2026; FB page verified HTTP 200,Indonesian virtual influencer. Travel/fashion. 456K IG.
https://www.facebook.com/kyraonig,Kyra (@kyraonig),Facebook,,,not exposed,"AIGC,Facebook,virtual influencer,travel,fashion,India,verified",New,,,,India,en,CGI persona,https://www.facebook.com/kyraonig,yes,2026-09-04T00:00:00Z,AmraAndElma.com top AI influencers 2026; FB page verified HTTP 200,India-focused virtual influencer. Travel/fashion. 250K IG.
https://www.facebook.com/bermudaisbae,@bermudaisbae,Facebook,N/A,,not exposed,"AIGC,Facebook,virtual influencer,politics,fashion,character IP,verified",2026-09-04T07:22:51Z,,English,GenAI,https://www.miquela.fyi/?utm_source=facebook&utm_medium=social&utm_term=bermuda,yes,CGI persona,https://www.facebook.com/bermudaisbae,"Facebook scrape: followers=N/A; bio_preview=Bermuda Is Bae 
1.3K pengikut • 0 mengikuti
Lagi
Siaran
Peri",https://www.facebook.com/bermudaisbae,https://www.facebook.com/bermudaisbae,"{""platform"": ""Facebook"", ""handle"": ""@bermudaisbae"", ""title"": ""Bermuda Is Bae"", ""bio_preview"": ""Bermuda Is Bae\u00a0\n1.3K pengikut \u2022 0 mengikuti\nLagi\nSiaran\nPerihal\nReels\nFoto\nPengenalan\nRobot Queen \ud83d\udc51\n"", ""external_link"": ""https://www.miquela.fyi/?utm_source=facebook&utm_medium=social&utm_term=bermuda"", ""aigc_verdict"": ""yes"", ""ai_reasoning"": ""Rule-based keyword fallback""}"
https://www.facebook.com/millasofiafin,@millasofiafin,Facebook,N/A,,not exposed,"AIGC,Facebook,virtual influencer,modeling,AI art,Finland,verified",2026-09-04T07:23:11Z,,English,GenAI,https://www.instagram.com/millasofiafin,yes,CGI persona,https://www.facebook.com/millasofiafin,"Facebook scrape: followers=N/A; bio_preview=Milla Sofia 
84 pengikut • 1 mengikuti
Lagi
Siaran
Perihal
F",https://www.facebook.com/millasofiafin,https://www.instagram.com/millasofiafin,"{""platform"": ""Facebook"", ""handle"": ""@millasofiafin"", ""title"": ""Milla Sofia"", ""bio_preview"": ""Milla Sofia\u00a0\n84 pengikut \u2022 1 mengikuti\nLagi\nSiaran\nPerihal\nFoto\nPengenalan\nHi Friends \ufffd\nProfil \u00b7 Pen"", ""external_link"": ""https://www.instagram.com/millasofiafin"", ""aigc_verdict"": ""yes"", ""ai_reasoning"": ""Rule-based keyword fallback""}"
