ProfileURL,Name/Handle,Platform,FollowerCount,Email,Tags,OutreachStatus,LastScrapedAt,Region,Language,PrimaryAITool,SampleContentURL,AIGCVerdict,DiscoveredAt,Source,Notes,FeedURL,ContactSourceURL,EvidenceJSON
https://www.facebook.com/nightcafestudio,@nightcafestudio,Facebook,N/A,not exposed,"Facebook, AIGC",New,2026-09-01T06:23:22Z,,English,GenAI,https://www.instagram.com/nightcafestudio,hybrid,2026-09-01,Facebook Scrape (batch 3),"Facebook scrape: followers=N/A; bio_preview=NightCafe 
17K pengikut • 29 mengikuti
Lagi
Siaran
Perihal
R",https://www.facebook.com/nightcafestudio,https://www.instagram.com/nightcafestudio,"{""platform"": ""Facebook"", ""handle"": ""@nightcafestudio"", ""title"": ""NightCafe"", ""bio_preview"": ""NightCafe\u00a0\n17K pengikut \u2022 29 mengikuti\nLagi\nSiaran\nPerihal\nReels\nFoto\nPengenalan\nImagine an idea, cr"", ""external_link"": ""https://www.instagram.com/nightcafestudio"", ""aigc_verdict"": ""hybrid"", ""ai_reasoning"": ""fallback""}"
https://www.facebook.com/AutumnSkyeART,@AutumnSkyeART,Facebook,N/A,not exposed,"Facebook, AIGC",New,2026-09-01T06:23:43Z,,English,GenAI,https://www.facebook.com/AutumnSkyeART,hybrid,2026-09-01,Facebook Scrape (batch 3),"Facebook scrape: followers=N/A; bio_preview=Autumn Skye - Art Gallery & Custom Tattoo 
1.7K pengikut • 1",https://www.facebook.com/AutumnSkyeART,,"{""platform"": ""Facebook"", ""handle"": ""@AutumnSkyeART"", ""title"": ""Autumn Skye -  Art Gallery & Custom Tattoo"", ""bio_preview"": ""Autumn Skye - Art Gallery & Custom Tattoo\u00a0\n1.7K pengikut \u2022 1 mengikuti\nLagi\nSiaran\nPerihal\nFoto\nPeng"", ""external_link"": """", ""aigc_verdict"": ""hybrid"", ""ai_reasoning"": ""fallback""}"
https://www.facebook.com/Imma.ai,@Imma.ai,Facebook,N/A,not exposed,"Facebook, AIGC",New,2026-09-01T06:24:39Z,,English,GenAI,https://www.facebook.com/Imma.ai,hybrid,2026-09-01,Facebook Scrape (batch 3),"Facebook scrape: followers=N/A; bio_preview=Maira Alvarenga 
Lagi
Rakan
Foto
Perihal
Pekerjaan
Tiada tem",https://www.facebook.com/Imma.ai,,"{""platform"": ""Facebook"", ""handle"": ""@Imma.ai"", ""title"": ""Maira Alvarenga"", ""bio_preview"": ""Maira Alvarenga\u00a0\nLagi\nRakan\nFoto\nPerihal\nPekerjaan\nTiada tempat kerja untuk dipapar\nKolej\nTiada seko"", ""external_link"": """", ""aigc_verdict"": ""hybrid"", ""ai_reasoning"": ""fallback""}"
